aX,aY,aZ,gX,gY,gZ
0.170,-3.941,-1.446,-1.775,0.066,-0.327
0.353,-4.355,-1.815,-1.671,0.104,-0.343
0.626,-4.979,-2.260,-1.321,0.230,-0.459
1.955,-4.096,-1.480,-1.197,0.066,-0.254
0.224,-5.113,-0.832,-1.233,1.320,0.130
-3.269,-5.503,-2.078,-0.890,-0.699,-0.027
2.203,-4.885,-2.140,-1.015,0.229,0.246
0.524,-6.795,-2.430,-0.741,0.405,0.630
-0.791,-5.837,-2.473,-0.460,-0.148,0.341
0.466,-6.087,-3.302,-0.513,0.053,0.130
-0.290,-6.082,-2.612,-0.384,0.415,0.192
-0.703,-6.152,-2.577,-0.650,0.380,0.349
-0.983,-7.219,-3.311,-0.184,0.205,0.117
-0.627,-6.331,-3.122,-0.138,0.054,0.063
-0.595,-6.281,-3.121,0.100,0.116,0.012
-0.693,-6.395,-2.732,-0.003,0.037,0.030
-0.696,-6.970,-2.711,0.008,0.103,-0.003
-0.678,-6.135,-2.174,0.145,0.096,0.075
-1.070,-6.489,-2.871,0.020,0.062,0.030
-0.765,-6.790,-3.432,0.331,0.080,-0.079
-0.022,-5.750,-2.464,0.159,-0.053,0.080
-0.940,-6.596,-2.774,0.258,0.144,0.066
-0.655,-5.878,-1.820,0.164,-0.136,0.075
-0.866,-5.753,-1.808,0.059,0.168,0.060
-1.063,-6.361,-2.315,0.040,0.382,0.048
-1.227,-5.124,-2.124,0.286,0.156,0.026
-1.059,-5.997,-2.344,-0.094,0.108,0.026
-0.966,-6.196,-2.709,0.197,0.148,-0.031
-0.707,-5.406,-2.203,0.289,-0.018,0.103
-1.267,-6.577,-3.370,0.498,0.041,0.090
-1.358,-6.045,-3.731,1.744,-0.339,-0.042
0.543,-2.516,-2.193,2.322,-1.065,0.435
-0.413,-3.994,-1.937,2.405,-0.317,0.615
-0.230,-0.754,-0.577,2.648,-0.072,0.193
-0.765,-1.267,0.953,1.280,-0.535,0.448
-0.114,-1.328,-0.612,1.465,-0.555,-0.031
0.502,0.351,1.451,1.026,0.300,0.078
-1.519,0.587,3.020,0.638,1.093,0.098
-4.089,0.528,1.052,-0.329,-0.711,-0.285
0.885,0.084,0.395,0.093,-0.043,-0.080
-0.660,-0.334,-1.132,0.063,0.285,-0.110
-1.322,0.490,-0.257,0.076,0.177,-0.064
-0.858,0.190,-0.202,-0.078,0.030,0.001
-1.077,0.368,0.369,0.079,0.167,0.010
-0.742,0.108,-0.104,0.066,0.026,0.013
-0.743,0.144,-0.153,0.006,0.127,0.001
-0.772,0.164,0.048,0.054,0.241,0.006
-1.093,0.244,-0.219,0.091,0.186,-0.008
-1.226,0.439,0.138,0.031,0.106,-0.005
-1.026,0.341,-0.212,0.027,0.035,-0.007
-1.010,0.427,0.158,0.016,0.002,0.013
-1.026,0.359,-0.129,-0.013,0.010,0.002
-1.144,0.499,-0.004,-0.060,-0.114,-0.013
-0.819,0.346,0.053,-0.016,-0.101,0.018
-0.898,0.468,-0.157,-0.002,0.018,-0.004
-0.882,0.391,-0.023,-0.047,-0.022,-0.002
-0.958,0.433,-0.079,-0.022,0.051,-0.015
-0.821,0.445,-0.056,-0.048,0.017,-0.015
-0.950,0.472,0.005,-0.051,0.046,-0.015
-0.876,0.435,-0.086,-0.030,0.035,-0.023
-0.989,0.480,-0.023,-0.051,0.038,-0.013
-0.870,0.400,-0.108,-0.045,0.038,-0.021
-0.953,0.533,0.045,-0.083,0.020,-0.012
-0.850,0.389,-0.068,0.007,0.066,-0.012
-0.990,0.566,-0.145,-0.062,0.022,-0.031
-0.881,0.352,0.079,-0.047,0.030,-0.001
-0.996,0.470,-0.220,-0.004,0.060,-0.026
-1.093,0.537,0.126,-0.105,-0.035,-0.016
-0.958,0.411,-0.023,0.010,0.050,-0.015
-1.057,0.591,-0.180,-0.042,0.015,-0.035
-0.875,0.387,0.067,-0.039,0.025,-0.001
-0.980,0.482,-0.186,-0.001,0.058,-0.020
-1.018,0.585,0.068,-0.076,-0.023,-0.017
-0.978,0.491,-0.180,-0.014,0.048,-0.005
-0.986,0.563,-0.207,-0.024,0.064,-0.033
-1.009,0.443,-0.044,-0.044,0.038,-0.010
-1.032,0.488,-0.174,-0.049,-0.007,-0.024
-0.941,0.457,0.071,-0.067,-0.002,-0.008
-0.927,0.482,-0.158,-0.018,0.038,-0.026
-1.018,0.540,0.069,-0.072,-0.002,-0.018
-0.967,0.490,-0.098,-0.011,0.050,-0.014
-1.045,0.626,0.002,-0.087,-0.000,-0.018
-0.924,0.460,0.042,-0.011,0.043,-0.007
-1.122,0.576,-0.239,-0.047,0.039,-0.028
-0.973,0.445,0.080,-0.076,-0.018,-0.006
-1.024,0.496,-0.129,0.004,0.080,-0.023
-1.081,0.640,-0.090,-0.073,-0.045,-0.025
-1.003,0.455,0.068,0.015,-0.103,-0.027
-1.233,0.587,-0.142,0.001,-0.022,-0.034
-0.883,0.480,0.093,-0.059,-0.005,-0.002
-0.962,0.564,-0.087,0.004,0.035,-0.020
-1.049,0.678,0.036,-0.059,0.012,-0.017
-0.891,0.557,-0.026,-0.033,0.048,-0.013
-0.905,0.617,-0.090,-0.048,0.018,-0.019
-0.819,0.511,0.054,-0.056,0.029,-0.007
-1.002,0.608,-0.174,-0.027,0.041,-0.019
-0.982,0.679,0.065,-0.096,-0.017,-0.007
-0.845,0.561,-0.007,-0.018,0.035,-0.011
-0.977,0.678,-0.095,-0.060,0.012,-0.025
-0.801,0.514,0.129,-0.054,0.034,-0.003
-0.977,0.583,-0.177,-0.006,0.070,-0.024
-1.068,0.697,0.032,-0.106,-0.021,-0.018
-0.844,0.492,-0.031,-0.002,0.051,-0.008
-1.074,0.640,-0.201,-0.061,-0.019,-0.029
-0.931,0.615,0.146,-0.039,-0.103,-0.015
-0.754,0.555,-0.018,-0.022,-0.002,-0.012
-0.903,0.692,-0.043,-0.082,-0.006,-0.021
-0.739,0.511,0.041,-0.031,0.057,-0.008
-0.882,0.633,-0.095,-0.041,0.034,-0.025
-0.800,0.542,-0.014,-0.060,0.030,-0.010
-0.911,0.549,-0.095,-0.012,0.051,-0.015
-0.986,0.696,0.030,-0.086,-0.002,-0.010
-0.806,0.590,-0.037,-0.025,0.037,-0.010
-0.912,0.669,-0.136,-0.058,0.026,-0.024
-0.815,0.539,0.087,-0.047,0.026,-0.004
-0.916,0.621,-0.164,-0.015,0.072,-0.023
-0.986,0.675,0.040,-0.095,-0.027,-0.019
-0.834,0.527,0.041,0.002,0.060,-0.002
-1.027,0.684,-0.244,-0.046,0.028,-0.025

1.692,-3.219,0.393,-1.646,-0.334,-0.223
1.871,-3.074,0.508,-1.656,-0.225,-0.205
1.827,-2.717,0.494,-1.697,0.070,-0.114
0.728,-2.874,0.211,-1.848,0.050,-0.008
0.639,-3.697,-1.680,-2.045,-0.022,-0.058
0.876,-5.112,-3.509,-1.316,-0.108,-0.156
1.067,-4.755,-2.931,-0.861,-0.104,-0.056
0.937,-5.309,-2.704,-0.798,0.132,0.010
0.913,-6.021,-2.849,-0.652,0.041,0.017
0.808,-5.720,-2.405,-0.624,0.272,0.089
0.178,-6.448,-2.796,-0.674,0.341,0.025
0.350,-6.170,-2.823,-0.517,0.104,-0.161
0.889,-6.746,-3.352,-0.488,0.072,-0.109
1.027,-7.190,-3.673,-0.162,-0.020,-0.139
1.172,-6.528,-3.260,-0.064,0.147,0.044
0.608,-6.990,-3.122,-0.124,0.079,0.048
0.600,-6.649,-3.227,0.053,0.018,-0.023
0.800,-6.511,-2.866,0.036,0.022,0.018
0.802,-6.791,-2.905,-0.046,0.110,0.040
0.529,-6.491,-2.913,0.088,0.066,0.002
1.000,-6.516,-2.831,-0.081,0.020,0.050
0.521,-6.917,-3.179,-0.013,0.117,0.042
0.875,-6.408,-2.696,0.072,-0.056,0.040
0.423,-6.722,-2.771,-0.018,0.137,0.060
0.496,-6.351,-2.860,0.126,0.054,0.034
0.448,-6.427,-2.508,-0.107,0.109,0.066
0.259,-6.766,-3.010,0.019,0.026,-0.018
0.408,-6.323,-2.640,0.009,0.104,0.021
0.377,-6.703,-2.956,-0.010,0.032,-0.047
0.672,-6.330,-2.672,0.180,0.088,0.017
0.219,-6.530,-2.460,-0.004,0.078,0.048
0.548,-6.574,-2.861,0.071,0.063,-0.016
0.242,-6.292,-2.656,0.160,0.089,0.067
0.286,-6.284,-2.834,0.238,0.097,0.034
0.306,-6.104,-2.734,0.303,0.091,0.097
0.371,-5.808,-2.631,0.373,0.060,0.124
0.272,-6.108,-3.021,0.496,0.220,0.155
0.146,-5.483,-2.602,0.715,0.111,0.135
0.123,-5.446,-2.381,0.600,0.102,0.160
0.113,-4.993,-2.053,0.782,0.210,0.163
-0.115,-4.916,-1.806,0.675,0.135,0.171
-0.043,-4.731,-1.927,0.790,0.073,0.108
-0.168,-4.090,-1.349,0.941,0.078,0.127
-0.287,-3.806,-0.815,0.932,0.207,0.063
-0.612,-3.172,-0.584,0.930,0.187,0.079
-0.866,-2.759,0.178,0.646,0.381,0.079
-1.920,-2.313,0.405,0.275,0.212,-0.140
-0.724,-3.524,-1.165,0.381,-0.209,-0.171
-0.138,-2.866,-0.939,0.917,0.350,0.108
-1.203,-2.807,-0.680,0.933,0.204,0.215
-1.263,-1.360,0.357,1.039,-0.223,0.017
0.535,-0.757,1.775,0.452,0.094,0.203
-3.012,-0.721,2.201,0.029,0.601,0.013
-1.131,-1.583,-0.491,-0.035,-0.258,-0.212
-0.102,-1.689,-0.960,0.323,0.224,0.005
-0.769,-0.968,-0.899,0.444,0.298,0.070
-2.960,-0.581,2.063,-0.346,0.040,-0.029
-0.801,-1.149,-0.239,0.031,0.207,-0.009
