aX,aY,aZ,gX,gY,gZ
-3.397,1.518,-0.300,0.552,3.304,0.276
-3.379,1.542,-0.470,0.526,3.286,0.262
-2.938,1.517,-0.867,0.529,3.421,0.258
-5.599,2.509,-0.162,0.502,3.847,0.375
-6.359,2.167,-2.096,-0.023,3.059,0.217
-6.573,2.088,-3.134,0.031,2.148,0.101
-6.935,2.428,-2.999,0.228,2.342,0.102
-7.591,2.558,-3.567,0.020,1.999,0.195
-6.460,1.948,-4.720,-0.045,2.125,0.268
-8.452,2.225,-5.720,0.202,2.212,0.382
-7.426,2.644,-6.930,0.598,2.350,0.435
-9.449,3.873,-6.483,0.517,1.846,0.523
-9.650,3.634,-6.833,0.026,0.799,0.217
-9.477,3.651,-7.124,-0.312,0.153,-0.172
-7.039,2.963,-7.593,-0.214,0.303,-0.103
-10.026,3.220,-7.313,0.000,0.662,0.243
-9.243,3.748,-7.567,-0.280,-0.363,-0.161
-8.899,3.344,-7.098,-0.419,-0.619,-0.311
-7.556,2.884,-7.392,-0.073,0.329,0.166
-10.988,3.940,-6.278,-0.102,0.437,0.066
-9.659,3.275,-7.082,-0.366,-0.218,-0.164
-8.004,2.970,-7.210,-0.391,-0.799,-0.343
-8.667,2.708,-6.540,-0.164,0.158,0.099
-10.594,3.525,-5.855,-0.379,-0.918,-0.242
-9.480,3.264,-5.701,-0.883,-1.930,-0.727
-7.872,2.307,-5.428,-0.767,-2.088,-0.748
-7.315,2.164,-4.369,-0.423,-1.698,-0.450
-7.740,1.627,-3.456,-0.389,-1.588,-0.390
-6.461,1.894,-3.010,-0.420,-1.785,-0.408
-5.563,1.247,-2.564,-0.469,-1.596,-0.351
-5.004,1.249,-2.382,-0.274,-1.410,-0.213
-4.824,1.335,-1.585,-0.306,-1.168,-0.068
-4.448,1.355,-1.727,-0.433,-1.539,-0.250
-3.645,1.282,-1.317,-0.254,-1.014,-0.066
-4.399,1.231,-1.111,-0.404,-2.291,-0.195
-1.414,0.753,-1.016,-0.003,-1.274,-0.014
-2.768,1.668,0.108,-0.478,-2.706,-0.091
0.783,0.151,-0.605,-0.515,-1.118,-0.132
-0.563,0.765,-0.193,-0.076,-0.411,-0.016
0.327,0.605,0.008,0.021,-0.391,0.071
-0.128,1.022,0.593,-0.073,0.109,0.002
-0.217,0.915,0.311,-0.161,-0.146,-0.015
0.071,0.648,0.435,-0.050,0.128,-0.026
0.292,1.009,0.292,-0.092,0.220,-0.010
-0.138,1.045,0.520,-0.099,0.186,0.010
0.002,0.953,0.438,-0.280,0.058,-0.055
0.055,0.801,0.083,-0.156,0.288,-0.006
-0.133,1.056,0.249,-0.187,0.051,-0.009
0.135,0.819,0.245,-0.300,0.154,-0.091
-0.117,0.889,0.047,-0.240,-0.030,0.005
0.570,0.591,-0.280,-0.124,0.291,0.027
-0.275,1.015,0.359,-0.206,0.116,-0.002
0.436,0.704,-0.095,-0.320,-0.056,0.034
-0.146,0.778,-0.008,-0.128,0.262,0.050
0.005,0.722,0.050,-0.138,0.120,0.026
-0.019,0.778,0.315,-0.159,0.162,0.043
0.049,0.746,0.159,-0.201,0.060,0.034
-0.054,0.772,0.063,-0.125,0.242,0.019
-0.066,0.770,0.211,-0.210,0.012,-0.028
0.348,0.595,-0.045,-0.085,0.298,-0.009
-0.451,0.990,0.432,-0.195,0.029,-0.013
0.369,0.596,-0.023,-0.197,0.108,-0.047
-0.304,0.924,0.321,-0.141,0.194,-0.051
0.296,0.605,0.111,-0.199,0.107,-0.062
-0.069,0.785,0.189,-0.128,0.261,-0.031
0.170,0.752,0.180,-0.210,0.030,-0.041
0.283,0.694,0.018,-0.149,0.244,-0.010
-0.235,0.815,0.195,-0.183,0.089,-0.014
0.385,0.642,-0.035,-0.168,0.175,-0.010
-0.075,0.806,0.214,-0.137,0.175,0.025
0.136,0.682,0.053,-0.238,0.032,0.012
0.235,0.628,-0.065,-0.094,0.271,0.015
